# rank	seq_id	rel_abund_perc
134	NZ_KB822438.1	0.000303800230502407
135	NZ_KB822439.1	0.000298960508743704
136	NZ_KB822440.1	0.000276991719399229
137	NZ_KB822414.1	0.000219763910016879
138	NZ_KB822403.1	0.000188555685815796
139	NZ_KB822404.1	0.000188555685815796
140	NZ_KB822415.1	0.000178613605639222
141	NZ_KB822416.1	0.000123450913132968
142	NZ_KB822417.1	0.000109869285579751
143	NZ_KB822418.1	0.000102445000368759
144	NZ_KB822419.1	9.59455834519673e-05
145	NZ_KB822420.1	7.37107361050502e-05
146	NZ_KB822421.1	6.96691883536732e-05
147	NZ_KB822422.1	5.97490256912026e-05
148	NZ_KB822423.1	5.94702982600731e-05
149	NZ_KB822425.1	4.20751726718583e-05
150	NZ_KB822426.1	3.43341517436725e-05
151	NZ_KB822427.1	3.3675341451912e-05
152	NZ_KB822428.1	3.21043322946369e-05
153	NZ_KB822429.1	3.11921334291224e-05
154	NZ_KB822430.1	2.98365045595382e-05
155	NZ_KB822431.1	1.72557618726501e-05
156	NZ_KB822432.1	1.50766201383654e-05
157	NZ_KB822433.1	1.31381975491469e-05
